
################################################################################
# Gelman-Rubin Diagnostic
################################################################################

Generally the Gelman diagnostic should be < 1.05


Out of 112 variables: 45 > 1.01

                      
22 > 1.05

                      
1 > 1.1


The worst variables are:

               Point est. Upper C.I.
fac1.sig         1.108566   1.167199
ilr.fac1[10,1]   1.099164   1.100769
ilr.fac1[6,3]    1.097382   1.115195
ilr.fac1[2,3]    1.091174   1.098708
ilr.fac1[11,1]   1.084182   1.092618
ilr.fac1[1,2]    1.081100   1.120122
ilr.fac1[10,2]   1.079452   1.093423
ilr.fac1[3,3]    1.078483   1.103971
ilr.fac1[11,3]   1.078312   1.082168
ilr.fac1[6,2]    1.078111   1.117261


And here are the Gelman diagnostics for all variables:

               Point est. Upper C.I.
deviance        1.0018254  1.0046818
fac1.sig        1.1085662  1.1671992
ilr.fac1[1,1]   1.0463612  1.0482027
ilr.fac1[1,2]   1.0811001  1.1201221
ilr.fac1[1,3]   1.0284541  1.0317670
ilr.fac1[10,1]  1.0991638  1.1007686
ilr.fac1[10,2]  1.0794519  1.0934228
ilr.fac1[10,3]  1.0385262  1.0402221
ilr.fac1[11,1]  1.0841822  1.0926185
ilr.fac1[11,2]  1.0480899  1.0485164
ilr.fac1[11,3]  1.0783116  1.0821679
ilr.fac1[12,1]  1.0762771  1.0794905
ilr.fac1[12,2]  1.0250962  1.0253818
ilr.fac1[12,3]  1.0439815  1.0442955
ilr.fac1[13,1]  1.0316592  1.0370603
ilr.fac1[13,2]  1.0454613  1.0482717
ilr.fac1[13,3]  1.0604514  1.0724645
ilr.fac1[2,1]   1.0403427  1.0407959
ilr.fac1[2,2]   1.0737946  1.0897682
ilr.fac1[2,3]   1.0911737  1.0987081
ilr.fac1[3,1]   1.0388153  1.0405612
ilr.fac1[3,2]   1.0764262  1.1156230
ilr.fac1[3,3]   1.0784832  1.1039712
ilr.fac1[4,1]   1.0760672  1.0928391
ilr.fac1[4,2]   1.0457895  1.0475285
ilr.fac1[4,3]   1.0543606  1.0717176
ilr.fac1[5,1]   1.0367286  1.0426440
ilr.fac1[5,2]   1.0628385  1.0678854
ilr.fac1[5,3]   1.0320397  1.0520222
ilr.fac1[6,1]   1.0168127  1.0181405
ilr.fac1[6,2]   1.0781106  1.1172606
ilr.fac1[6,3]   1.0973820  1.1151947
ilr.fac1[7,1]   1.0506209  1.0514085
ilr.fac1[7,2]   1.0428701  1.0585273
ilr.fac1[7,3]   1.0589267  1.0629040
ilr.fac1[8,1]   1.0257420  1.0310682
ilr.fac1[8,2]   1.0527144  1.0722296
ilr.fac1[8,3]   1.0730238  1.0877468
ilr.fac1[9,1]   1.0469347  1.0523833
ilr.fac1[9,2]   1.0690610  1.0793529
ilr.fac1[9,3]   1.0332691  1.0383821
loglik[1]       1.0014123  1.0043560
loglik[10]      1.0000400  1.0004911
loglik[11]      1.0021263  1.0026973
loglik[12]      1.0009145  1.0031729
loglik[13]      1.0013569  1.0058355
loglik[2]       1.0003241  1.0014882
loglik[3]       1.0012528  1.0054640
loglik[4]       0.9995640  0.9996861
loglik[5]       1.0007187  1.0028379
loglik[6]       1.0001657  1.0005482
loglik[7]       1.0025541  1.0059517
